SessionDate,SessionName,ChannelNumber,Region,Probe
11/16/17,Chap00_rec06,1,LOFC,1
11/16/17,Chap00_rec06,2,LOFC,1
11/16/17,Chap00_rec06,3,LOFC,1
11/16/17,Chap00_rec06,4,LOFC,1
11/16/17,Chap00_rec06,5,LOFC,1
11/16/17,Chap00_rec06,6,LOFC,1
11/16/17,Chap00_rec06,7,LOFC,1
11/16/17,Chap00_rec06,8,LOFC,1
11/16/17,Chap00_rec06,9,LOFC,1
11/16/17,Chap00_rec06,10,LOFC,1
11/16/17,Chap00_rec06,11,LOFC,1
11/16/17,Chap00_rec06,12,LOFC,1
11/16/17,Chap00_rec06,13,LOFC,1
11/16/17,Chap00_rec06,14,LOFC,1
11/16/17,Chap00_rec06,15,LOFC,1
11/16/17,Chap00_rec06,16,LOFC,1
11/16/17,Chap00_rec06,33,LOFC,2
11/16/17,Chap00_rec06,34,LOFC,2
11/16/17,Chap00_rec06,35,LOFC,2
11/16/17,Chap00_rec06,36,LOFC,2
11/16/17,Chap00_rec06,37,LOFC,2
11/16/17,Chap00_rec06,38,LOFC,2
11/16/17,Chap00_rec06,39,LOFC,2
11/16/17,Chap00_rec06,40,LOFC,2
11/16/17,Chap00_rec06,41,LOFC,2
11/16/17,Chap00_rec06,42,LOFC,2
11/16/17,Chap00_rec06,43,LOFC,2
11/16/17,Chap00_rec06,44,LOFC,2
11/16/17,Chap00_rec06,45,LOFC,2
11/16/17,Chap00_rec06,46,LOFC,2
11/16/17,Chap00_rec06,47,LOFC,2
11/16/17,Chap00_rec06,48,LOFC,2
11/16/17,Chap00_rec06,65,LCN,3
11/16/17,Chap00_rec06,66,LCN,3
11/16/17,Chap00_rec06,67,LCN,3
11/16/17,Chap00_rec06,68,LCN,3
11/16/17,Chap00_rec06,69,LCN,3
11/16/17,Chap00_rec06,70,LCN,3
11/16/17,Chap00_rec06,71,LCN,3
11/16/17,Chap00_rec06,72,LCN,3
11/16/17,Chap00_rec06,73,LCN,3
11/16/17,Chap00_rec06,74,LCN,3
11/16/17,Chap00_rec06,75,LCN,3
11/16/17,Chap00_rec06,76,LCN,3
11/16/17,Chap00_rec06,77,LCN,3
11/16/17,Chap00_rec06,78,LCN,3
11/16/17,Chap00_rec06,79,LCN,3
11/16/17,Chap00_rec06,80,LCN,3
11/16/17,Chap00_rec06,97,LCN,4
11/16/17,Chap00_rec06,98,LCN,4
11/16/17,Chap00_rec06,99,LCN,4
11/16/17,Chap00_rec06,100,LCN,4
11/16/17,Chap00_rec06,101,LCN,4
11/16/17,Chap00_rec06,102,LCN,4
11/16/17,Chap00_rec06,103,LCN,4
11/16/17,Chap00_rec06,104,LCN,4
11/16/17,Chap00_rec06,105,LCN,4
11/16/17,Chap00_rec06,106,LCN,4
11/16/17,Chap00_rec06,107,LCN,4
11/16/17,Chap00_rec06,108,LCN,4
11/16/17,Chap00_rec06,109,LCN,4
11/16/17,Chap00_rec06,110,LCN,4
11/16/17,Chap00_rec06,111,LCN,4
11/16/17,Chap00_rec06,112,LCN,4
11/17/17,Chap00_rec07,1,LOFC,1
11/17/17,Chap00_rec07,2,LOFC,1
11/17/17,Chap00_rec07,3,LOFC,1
11/17/17,Chap00_rec07,4,LOFC,1
11/17/17,Chap00_rec07,5,LOFC,1
11/17/17,Chap00_rec07,6,LOFC,1
11/17/17,Chap00_rec07,7,LOFC,1
11/17/17,Chap00_rec07,8,LOFC,1
11/17/17,Chap00_rec07,9,LOFC,1
11/17/17,Chap00_rec07,10,LOFC,1
11/17/17,Chap00_rec07,11,LOFC,1
11/17/17,Chap00_rec07,12,LOFC,1
11/17/17,Chap00_rec07,13,LOFC,1
11/17/17,Chap00_rec07,14,LOFC,1
11/17/17,Chap00_rec07,15,LOFC,1
11/17/17,Chap00_rec07,16,LOFC,1
11/17/17,Chap00_rec07,33,LOFC,2
11/17/17,Chap00_rec07,34,LOFC,2
11/17/17,Chap00_rec07,35,LOFC,2
11/17/17,Chap00_rec07,36,LOFC,2
11/17/17,Chap00_rec07,37,LOFC,2
11/17/17,Chap00_rec07,38,LOFC,2
11/17/17,Chap00_rec07,39,LOFC,2
11/17/17,Chap00_rec07,40,LOFC,2
11/17/17,Chap00_rec07,41,LOFC,2
11/17/17,Chap00_rec07,42,LOFC,2
11/17/17,Chap00_rec07,43,LOFC,2
11/17/17,Chap00_rec07,44,LOFC,2
11/17/17,Chap00_rec07,45,LOFC,2
11/17/17,Chap00_rec07,46,LOFC,2
11/17/17,Chap00_rec07,47,LOFC,2
11/17/17,Chap00_rec07,48,LOFC,2
11/17/17,Chap00_rec07,65,LCN,3
11/17/17,Chap00_rec07,66,LCN,3
11/17/17,Chap00_rec07,67,LCN,3
11/17/17,Chap00_rec07,68,LCN,3
11/17/17,Chap00_rec07,69,LCN,3
11/17/17,Chap00_rec07,70,LCN,3
11/17/17,Chap00_rec07,71,LCN,3
11/17/17,Chap00_rec07,72,LCN,3
11/17/17,Chap00_rec07,73,LCN,3
11/17/17,Chap00_rec07,74,LCN,3
11/17/17,Chap00_rec07,75,LCN,3
11/17/17,Chap00_rec07,76,LCN,3
11/17/17,Chap00_rec07,77,LCN,3
11/17/17,Chap00_rec07,78,LCN,3
11/17/17,Chap00_rec07,79,LCN,3
11/17/17,Chap00_rec07,80,LCN,3
11/17/17,Chap00_rec07,97,LCN,4
11/17/17,Chap00_rec07,98,LCN,4
11/17/17,Chap00_rec07,99,LCN,4
11/17/17,Chap00_rec07,100,LCN,4
11/17/17,Chap00_rec07,101,LCN,4
11/17/17,Chap00_rec07,102,LCN,4
11/17/17,Chap00_rec07,103,LCN,4
11/17/17,Chap00_rec07,104,LCN,4
11/17/17,Chap00_rec07,105,LCN,4
11/17/17,Chap00_rec07,106,LCN,4
11/17/17,Chap00_rec07,107,LCN,4
11/17/17,Chap00_rec07,108,LCN,4
11/17/17,Chap00_rec07,109,LCN,4
11/17/17,Chap00_rec07,110,LCN,4
11/17/17,Chap00_rec07,111,LCN,4
