experiment,subject,session,date,OFCvaluedecoding,CNvaluedecoding
decoding_CN+OFC,Chap,Chap00_rec06,11/16/2017,0,0
decoding_CN+OFC,Chap,Chap00_rec07,11/17/2017,1,0
decoding_CN+OFC,Chap,Chap00_rec17,12/14/2017,1,1
decoding_CN+OFC,Chap,Chap00_rec20,12/19/2017,1,0
decoding_CN+OFC,Chap,Chap00_rec47,06/27/2018,1,0
decoding_CN+OFC,Chap,Chap00_rec49,07/03/2018,0,1
decoding_CN+OFC,Chap,Chap00_rec50,07/06/2018,0,1
decoding_CN+OFC,Chap,Chap00_rec51,07/09/2018,0,1
decoding_CN+OFC,Chap,Chap00_rec52,07/11/2018,0,1
decoding_CN+OFC,Chap,Chap00_rec53,07/19/2018,0,0
decoding_CN+OFC,Chap,Chap00_rec54,07/23/2018,1,0
decoding_CN+OFC,George,George00_rec14,01/28/2021,0,0
decoding_CN+OFC,George,George00_rec15,02/01/2021,1,1
decoding_CN+OFC,George,George00_rec16,02/05/2021,0,0
decoding_CN+OFC,George,George00_rec17,02/09/2021,0,0
decoding_CN+OFC,George,George00_rec18,02/11/2021,1,1
decoding_CN+OFC,George,George00_rec19,02/15/2021,1,1
decoding_CN+OFC,George,George00_rec20,03/01/2021,1,1
decoding_CN+OFC,George,George00_rec21,03/04/2021,1,1
decoding_CN+OFC,George,George00_rec22,03/08/2021,0,0
decoding_CN+OFC,George,George00_rec23,03/12/2021,0,0
decoding_CN+OFC,George,George00_rec24,03/15/2021,0,0
decoding_CN+OFC,George,George00_rec25,03/19/2021,0,0
